date,open,close,high,low,volume
2023-01-03,76.26,76.75,76.77,74.56,8720624.0
2023-01-04,76.26,77.14,77.75,76.26,9833342.0
2023-01-05,77.48,78.74,79.53,77.05,10359158.0
2023-01-06,79.04,80.79,82.59,78.37,13892002.0
2023-01-09,81.1,82.22,83.59,81.03,11978504.0
2023-01-10,82.54,84.67,86.74,82.24,16615917.0
2023-01-11,84.67,82.7,86.17,82.7,11337264.0
2023-01-12,83.17,82.95,83.78,82.2,6284178.0
2023-01-13,82.52,83.56,83.69,82.3,5991971.0
2023-01-16,80.55,90.38,91.92,80.23,48540595.0
2023-01-17,90.12,92.11,94.26,89.9,26096424.0
2023-01-18,92.11,92.29,93.59,90.88,14320315.0
2023-01-19,92.29,96.52,97.15,91.83,23122794.0
2023-01-20,96.6,95.65,97.04,95.1,14044225.0
2023-01-30,99.91,95.38,99.91,94.44,18197107.0
2023-01-31,95.38,93.26,96.57,93.13,14771663.0
2023-02-01,92.42,93.91,94.96,92.42,10379564.0
2023-02-02,94.09,94.19,96.02,93.77,11920467.0
2023-02-03,93.49,93.17,95.0,91.81,11467638.0
2023-02-06,93.17,91.48,93.57,90.94,9798430.0
2023-02-07,92.68,91.75,92.8,90.82,7897863.0
2023-02-08,92.01,90.82,93.1,90.71,7643171.0
2023-02-09,90.16,94.09,94.09,89.54,15281379.0
2023-02-10,93.99,93.1,94.58,92.52,10637229.0
2023-02-13,92.63,93.5,94.56,92.16,9338883.0
2023-02-14,93.5,92.97,94.92,92.25,8749733.0
2023-02-15,93.03,93.56,94.09,92.23,7651856.0
2023-02-16,93.54,90.71,94.99,89.58,14856698.0
2023-02-17,90.5,87.04,91.11,86.95,14791152.0
2023-02-20,86.95,88.73,89.12,86.25,8436065.0
2023-02-21,88.73,88.37,89.58,87.65,7177073.0
2023-02-22,88.01,87.56,88.56,87.27,5180612.0
2023-02-23,87.35,87.2,88.43,86.96,6784269.0
2023-02-24,88.05,86.23,88.49,86.18,6177240.0
2023-02-27,85.67,84.63,86.23,83.89,9463471.0
2023-02-28,84.99,85.13,85.44,83.42,7613970.0
2023-03-01,85.14,85.71,86.14,84.73,10571741.0
2023-03-02,86.36,85.28,87.47,85.2,10250419.0
2023-03-03,86.3,85.77,87.87,84.68,12681040.0
2023-03-06,85.78,85.18,86.16,84.03,8698436.0
