date,open,close,high,low,volume
2023-01-03,261.93,281.51,282.54,260.63,3731331.0
2023-01-04,282.56,279.17,283.36,275.23,1861033.0
2023-01-05,280.19,273.44,280.19,271.67,2273326.0
2023-01-06,274.15,276.11,278.55,267.69,2372201.0
2023-01-09,274.63,270.93,274.63,267.57,2071877.0
2023-01-10,272.65,270.04,272.79,266.79,1337202.0
2023-01-11,270.58,265.27,272.65,263.92,1551563.0
2023-01-12,264.84,268.49,276.12,263.28,2084299.0
2023-01-13,268.44,266.21,268.44,262.72,1562280.0
2023-01-16,266.21,276.6,279.87,265.21,2541766.0
2023-01-17,275.62,274.53,279.89,273.09,1089895.0
2023-01-18,274.53,280.33,286.41,273.15,2764053.0
2023-01-19,281.56,292.16,297.51,278.61,3137554.0
2023-01-20,291.73,292.18,300.71,288.51,2231810.0
2023-01-30,304.37,299.5,325.87,293.85,5334661.0
2023-01-31,300.41,278.89,301.4,277.6,4434957.0
2023-02-01,285.54,288.51,289.44,278.11,3753878.0
2023-02-02,290.49,303.56,315.16,290.49,4403186.0
2023-02-03,302.41,320.24,320.24,302.41,5149654.0
2023-02-06,323.18,312.1,342.05,305.93,8140183.0
2023-02-07,317.16,300.41,317.23,292.48,7613550.0
2023-02-08,297.43,300.78,304.34,293.1,4394447.0
2023-02-09,297.86,315.28,316.77,289.5,4632819.0
2023-02-10,312.08,292.06,313.25,288.17,5656663.0
2023-02-13,289.51,287.44,294.34,283.55,4857904.0
2023-02-14,291.87,294.15,300.39,287.52,3931406.0
2023-02-15,294.31,292.71,298.02,285.54,3519462.0
2023-02-16,292.71,295.31,305.46,291.49,3582870.0
2023-02-17,293.82,275.25,295.31,274.65,4910022.0
2023-02-20,272.65,279.88,282.56,271.16,2760903.0
2023-02-21,277.61,275.72,284.53,271.78,3471289.0
2023-02-22,272.65,277.61,281.37,268.68,3358774.0
2023-02-23,274.85,274.27,281.17,271.73,1828822.0
2023-02-24,274.38,278.67,280.68,270.79,2609154.0
2023-02-27,280.56,286.24,290.82,276.89,3579628.0
2023-02-28,290.1,288.51,300.31,284.45,3755437.0
2023-03-01,289.48,297.43,300.46,285.54,3250832.0
2023-03-02,294.84,302.89,314.29,291.51,3782623.0
2023-03-03,303.05,296.44,303.96,292.25,2690139.0
2023-03-06,298.92,292.19,298.92,290.3,1996408.0
2023-03-07,295.13,283.27,295.13,282.33,2072190.0
2023-03-08,281.55,304.2,304.2,279.59,5067845.0
2023-03-09,300.04,307.35,310.92,293.96,3827351.0
2023-03-10,303.24,300.29,313.53,298.8,2692894.0
2023-03-13,300.3,321.22,324.01,294.66,4277159.0
2023-03-14,318.45,319.23,324.97,313.3,3033430.0
2023-03-15,323.21,305.69,339.83,304.38,6057880.0
2023-03-16,302.67,307.01,312.8,299.99,3361894.0
2023-03-17,324.2,354.44,368.41,320.4,10285206.0
2023-03-20,358.9,341.04,364.36,340.07,7262511.0
2023-03-21,338.02,336.4,347.01,330.2,4385737.0
2023-03-22,331.17,323.13,332.14,316.27,7459445.0
2023-03-23,321.54,357.73,361.88,320.06,9285460.0
2023-03-24,350.59,388.65,394.61,345.02,9633423.0
2023-03-27,385.1,388.02,416.41,369.15,9507880.0
2023-03-28,403.15,397.58,422.36,394.62,8129079.0
