date,open,close,high,low,volume
2023-01-03,32.7,34.16,34.28,32.63,28670365.0
2023-01-04,34.16,33.94,34.3,33.64,14763773.0
2023-01-05,34.04,34.21,34.28,33.87,15856922.0
2023-01-06,34.16,33.73,34.16,33.61,15668545.0
2023-01-09,33.83,33.83,34.17,33.7,12331662.0
2023-01-10,33.99,33.91,34.07,33.5,12993184.0
2023-01-11,33.91,33.0,34.04,32.8,21547144.0
2023-01-12,32.95,33.11,33.34,32.7,11952712.0
2023-01-13,33.11,33.06,33.15,32.86,9062839.0
2023-01-16,33.0,34.97,35.44,33.0,48274971.0
2023-01-17,35.12,35.29,35.53,34.8,22365591.0
2023-01-18,35.26,35.17,35.48,34.88,15237716.0
2023-01-19,35.41,38.38,38.56,35.41,65028744.0
2023-01-20,38.38,37.65,38.5,37.43,31470448.0
2023-01-30,40.75,41.42,41.42,40.28,93696057.0
2023-01-31,41.42,40.33,41.42,39.45,86913625.0
2023-02-01,40.7,42.73,43.24,40.63,91230401.0
2023-02-02,42.75,42.62,45.41,42.6,127380382.0
2023-02-03,43.01,43.59,43.98,42.59,77455532.0
2023-02-06,44.49,47.61,47.61,43.83,120575749.0
2023-02-07,45.82,46.41,48.75,45.25,103872940.0
2023-02-08,46.39,46.05,48.27,45.53,87896501.0
2023-02-09,45.11,46.12,46.12,44.56,88780574.0
2023-02-10,46.3,47.62,49.77,45.92,135305134.0
2023-02-13,47.21,48.21,48.55,46.69,95724510.0
2023-02-14,47.64,47.09,47.64,46.2,73282454.0
2023-02-15,47.48,50.48,51.57,46.79,137788047.0
2023-02-16,49.69,48.21,50.15,47.71,103603815.0
2023-02-17,47.73,46.42,48.0,46.07,81607440.0
2023-02-20,47.1,50.63,50.69,46.83,130699380.0
2023-02-21,50.63,50.35,51.64,49.63,78889907.0
2023-02-22,49.75,50.08,50.87,48.52,67153525.0
2023-02-23,49.9,48.16,49.94,47.66,71079357.0
2023-02-24,48.58,48.85,49.6,47.8,65985846.0
2023-02-27,48.11,47.5,48.8,47.26,47005577.0
2023-02-28,48.18,48.05,48.28,46.88,54970230.0
2023-03-01,47.86,49.58,50.42,47.72,82120932.0
2023-03-02,49.25,50.59,52.2,49.08,84916643.0
2023-03-03,50.0,50.4,51.88,49.31,74733665.0
2023-03-06,50.25,50.02,50.87,49.28,45903581.0
2023-03-07,49.99,48.53,50.27,48.01,45528433.0
2023-03-08,48.44,48.33,48.58,47.27,47876147.0
2023-03-09,48.42,47.99,48.86,47.43,36686990.0
2023-03-10,47.31,47.34,48.57,46.72,49593106.0
2023-03-13,47.21,48.9,49.05,46.82,61467176.0
2023-03-14,48.5,47.86,48.85,47.1,46076608.0
2023-03-15,48.9,47.89,50.08,47.66,58831759.0
2023-03-16,47.11,48.57,49.78,46.83,71063364.0
2023-03-17,49.68,51.96,53.27,49.64,117460180.0
2023-03-20,52.18,50.77,52.97,50.64,76394096.0
2023-03-21,50.79,50.51,51.55,49.5,56108185.0
2023-03-22,49.7,51.24,51.24,49.28,68666348.0
2023-03-23,51.69,56.37,56.37,51.11,151593028.0
2023-03-24,56.66,59.66,60.46,56.16,142342944.0
2023-03-27,58.83,60.09,61.67,58.15,124209119.0
2023-03-28,58.85,57.89,59.99,57.58,81272847.0
2023-03-29,57.43,58.89,60.43,56.44,104458299.0
2023-03-30,58.64,58.41,59.83,57.1,64867753.0
2023-03-31,58.33,63.3,63.77,57.14,110883350.0
2023-04-03,65.6,68.88,68.98,64.94,137723100.0
2023-04-04,68.14,65.5,69.68,64.04,120945434.0
2023-04-06,63.78,63.59,65.31,62.82,85286348.0
2023-04-07,64.4,65.1,66.23,62.72,69645073.0
2023-04-10,64.26,58.59,64.39,58.59,111911595.0
2023-04-11,58.64,59.49,61.16,58.23,90334430.0
2023-04-12,59.14,61.37,61.82,58.84,78886121.0
