date,open,close,high,low,volume,money
2025-01-02,40.75,39.21,40.79,38.8,2570687.0,102385965.18
2025-01-03,39.37,38.73,39.81,38.61,2525434.0,98937795.44
2025-01-06,38.82,38.58,39.31,37.61,2694414.0,103174745.93
2025-01-07,38.66,39.63,39.86,37.88,2107860.0,81704433.5
2025-01-08,39.5,39.3,39.95,37.9,1745217.0,68251810.06
2025-01-09,38.84,39.78,40.24,38.58,1771922.0,70592931.59
2025-01-10,39.75,39.72,40.95,39.52,1927646.0,77450936.24
2025-01-13,39.68,41.99,42.44,38.89,2432372.0,99696466.58
2025-01-14,42.3,42.67,43.3,41.65,2657130.0,113163680.72
2025-01-15,42.63,41.99,42.67,41.79,1678921.0,70682544.49
2025-01-16,42.09,42.13,43.08,41.77,1436923.0,60919158.44
2025-01-17,41.7,41.61,42.48,41.5,1247695.0,52265984.02
2025-01-20,41.82,42.12,42.26,41.14,1133191.0,47438128.54
2025-01-21,42.47,42.14,42.75,41.14,1291386.0,54109794.63
2025-01-22,42.02,41.76,42.26,41.23,1033130.0,43092132.45
2025-01-23,42.14,41.31,42.91,41.31,1447218.0,61188298.54
2025-01-24,41.14,42.95,43.06,41.14,2079993.0,88200052.56
2025-01-27,43.56,43.43,45.09,42.61,2962035.0,129861030.69
2025-02-05,52.12,52.12,52.12,50.88,5935794.0,309063484.81
2025-02-06,54.7,62.54,62.54,54.04,18908528.0,1110552912.0
2025-02-07,63.2,67.2,73.88,59.7,23821404.0,1540375310.52
2025-02-10,69.56,80.64,80.64,69.45,21497013.0,1637145867.46
2025-02-11,75.03,71.05,79.2,70.81,21564075.0,1619397192.13
2025-02-12,73.5,72.11,74.25,69.62,13087093.0,942765093.84
2025-02-13,69.5,68.05,71.15,66.1,13466892.0,919914122.37
2025-02-14,68.88,72.16,77.04,67.2,17246955.0,1239368339.76
2025-02-17,71.44,68.89,71.5,68.08,12235971.0,848980233.99
2025-02-18,68.2,65.18,68.58,64.74,8155474.0,541756119.07
2025-02-19,65.56,67.09,67.59,64.33,7427111.0,491312577.17
2025-02-20,66.42,66.84,68.87,66.0,6481398.0,435558767.32
2025-02-21,68.5,68.91,69.51,65.12,9718221.0,658313479.8
2025-02-24,68.5,66.28,68.5,65.3,6931116.0,459727530.33
2025-02-25,64.54,65.8,67.4,64.01,5200515.0,343285412.7
2025-02-26,67.0,67.24,68.0,65.21,5941486.0,395887053.89
2025-02-27,67.0,68.69,71.7,66.7,8806834.0,610459648.29
2025-02-28,67.34,63.2,71.0,62.18,7339322.0,495814925.72
2025-03-03,63.3,63.52,65.64,60.45,4972718.0,316326840.3
2025-03-04,63.51,66.88,67.47,62.0,5497716.0,362842027.43
2025-03-05,66.7,66.81,67.68,65.12,4978089.0,330139991.62
2025-03-06,67.98,69.36,70.56,67.39,6983630.0,483795285.73
2025-03-07,69.5,66.78,71.88,65.81,6553645.0,449399669.72
2025-03-10,66.56,67.07,67.38,65.0,3756458.0,248760864.77
2025-03-11,65.3,66.0,68.15,64.51,4266169.0,281420781.68
2025-03-12,66.92,66.26,67.9,65.45,4074420.0,272130149.27
2025-03-13,66.27,62.3,66.4,61.36,5417583.0,341896177.05
2025-03-14,61.72,63.41,63.97,61.08,3118939.0,196435031.6
2025-03-17,64.0,62.85,64.0,62.0,2561420.0,161638538.9
2025-03-18,63.01,63.06,64.2,62.59,2211054.0,140042894.47
2025-03-19,62.85,61.22,62.89,60.8,2781844.0,171287244.34
2025-03-20,61.22,61.24,63.0,60.7,2575005.0,159417624.4
2025-03-21,60.63,58.26,60.63,58.2,3043217.0,180527296.03
2025-03-24,55.0,54.06,56.34,52.66,6179544.0,335712343.9
2025-03-25,53.92,53.74,54.59,53.43,2602723.0,140525996.88
2025-03-26,53.77,53.18,54.3,53.12,1795543.0,96307165.4
2025-03-27,53.07,52.8,54.11,52.21,2101570.0,111774623.22
2025-03-28,52.63,52.01,53.35,51.86,1553456.0,81436497.1
2025-03-31,51.86,52.99,54.0,50.71,2960473.0,154577441.98
2025-04-01,54.0,53.07,54.0,52.78,2155461.0,115013750.16
2025-04-02,53.37,52.77,53.4,52.55,1349645.0,71398183.83
2025-04-03,52.35,51.61,53.24,51.41,1762830.0,91794899.34
2025-04-07,47.91,42.5,48.84,41.29,5371591.0,241710293.47
2025-04-08,42.7,44.61,45.45,42.7,4237749.0,188553713.1
2025-04-09,44.2,46.33,46.63,41.59,4350810.0,195031193.8
2025-04-10,47.29,46.5,48.16,46.48,4006618.0,189809423.69
2025-04-11,45.85,47.36,47.92,45.51,2967695.0,140207486.63
2025-04-14,48.16,47.37,48.35,47.05,2463490.0,117646700.1
2025-04-15,47.0,46.64,47.52,46.22,2241006.0,104526790.55
2025-04-16,46.59,45.49,46.81,44.5,2445712.0,111540299.13
2025-04-17,44.93,45.11,46.6,44.93,2752109.0,125802997.7
2025-04-18,45.25,44.34,45.33,43.55,3239946.0,143405734.59
2025-04-21,44.36,45.98,46.44,44.07,3278960.0,149447275.01
