date,open,close,high,low,volume
2025-01-02,93.81,89.96,95.09,88.5,84971056.0
2025-01-03,90.1,88.31,91.13,87.53,61288981.0
2025-01-06,88.84,86.94,89.6,85.72,43831308.0
2025-01-07,87.1,90.6,90.75,86.0,67214796.0
2025-01-08,88.88,88.82,91.28,85.99,68790730.0
2025-01-09,88.4,91.32,93.33,88.1,72416451.0
2025-01-10,90.85,93.18,96.68,90.85,89988928.0
2025-01-13,91.0,95.02,95.86,89.88,68025640.0
2025-01-14,96.95,98.77,99.58,94.45,92888106.0
2025-01-15,97.5,99.55,102.29,97.3,77659234.0
2025-01-16,102.18,96.6,104.46,96.6,103477465.0
2025-01-17,96.51,102.7,104.77,96.51,109403228.0
2025-01-20,102.98,101.05,103.0,100.3,59667259.0
2025-01-21,101.5,101.84,104.35,101.1,74435300.0
2025-01-22,101.3,100.24,103.22,99.5,61641241.0
2025-01-23,102.8,96.84,103.87,96.7,86850578.0
2025-01-24,97.16,97.85,98.62,96.77,47198275.0
2025-01-27,98.38,93.94,98.39,93.9,52844572.0
2025-02-05,100.16,101.37,102.84,99.44,97756780.0
2025-02-06,100.11,104.43,106.43,99.66,89396981.0
2025-02-07,104.42,102.53,105.27,100.08,93254065.0
2025-02-10,102.8,103.85,104.52,101.01,66856305.0
2025-02-11,103.6,100.86,103.7,100.36,54448990.0
2025-02-12,101.5,104.32,104.44,99.41,97586005.0
2025-02-13,104.77,101.11,104.96,100.89,69064629.0
2025-02-14,99.96,99.08,100.87,98.16,56713536.0
2025-02-17,99.3,101.0,102.45,99.3,58094181.0
2025-02-18,101.01,98.28,101.27,98.17,50546212.0
2025-02-19,97.95,101.94,102.58,97.91,70074653.0
2025-02-20,101.0,99.21,101.4,98.88,56493994.0
2025-02-21,99.6,103.98,105.92,99.6,123386761.0
2025-02-24,103.0,103.4,106.86,102.0,74722539.0
2025-02-25,100.88,101.28,103.94,100.11,71172236.0
2025-02-26,102.86,104.0,105.5,100.06,88991060.0
2025-02-27,103.13,102.44,105.21,100.44,69790787.0
2025-02-28,101.0,97.79,101.59,97.67,67840823.0
2025-03-03,96.99,96.0,98.1,95.18,49878742.0
2025-03-04,95.0,97.28,99.07,94.61,44469412.0
2025-03-05,97.3,97.57,98.2,96.16,35097289.0
2025-03-06,98.85,98.66,100.3,98.37,56756728.0
2025-03-07,97.6,96.88,98.55,96.52,39398650.0
2025-03-10,96.39,95.66,97.29,95.01,38451869.0
2025-03-11,94.0,96.12,96.32,93.8,30626303.0
2025-03-12,96.5,95.9,97.05,95.71,28639010.0
2025-03-13,95.39,92.98,96.08,92.1,44201076.0
2025-03-14,92.98,94.81,95.61,92.5,40137622.0
2025-03-17,94.89,93.37,94.91,93.16,31205181.0
2025-03-18,93.99,94.1,95.8,93.9,29866634.0
2025-03-19,93.9,93.75,94.57,93.5,23319047.0
2025-03-20,93.8,93.27,94.29,93.0,27204001.0
2025-03-21,92.98,91.2,92.98,90.9,36539914.0
2025-03-24,91.5,91.45,91.68,89.81,29654478.0
2025-03-25,91.45,89.87,91.45,89.25,28338161.0
2025-03-26,90.2,90.0,91.2,89.82,19490835.0
2025-03-27,90.0,92.47,93.78,89.37,45729726.0
2025-03-28,91.54,90.4,92.48,90.35,27440878.0
2025-03-31,90.39,89.33,91.7,88.36,26820455.0
2025-04-01,89.5,86.5,89.75,86.19,41191328.0
2025-04-02,86.38,86.85,87.45,85.72,24056690.0
2025-04-03,85.97,88.09,89.2,85.9,30277366.0
2025-04-07,84.5,84.0,86.88,77.8,85368449.0
2025-04-08,84.0,85.0,85.88,83.0,53816947.0
2025-04-09,84.03,90.18,91.58,83.17,74601350.0
2025-04-10,92.02,90.95,92.18,89.82,52228661.0
2025-04-11,90.86,92.9,95.48,90.2,71343411.0
2025-04-14,93.5,92.0,93.54,91.69,37611854.0
2025-04-15,91.8,90.39,91.8,89.68,27852312.0
2025-04-16,91.0,92.0,92.0,89.87,27925129.0
2025-04-17,91.3,91.8,92.38,91.0,22896965.0
2025-04-18,91.49,91.35,91.88,90.53,13848004.0
2025-04-21,91.34,90.51,91.75,90.13,23221503.0
2025-04-22,90.5,90.01,90.88,89.75,21750489.0
2025-04-23,90.15,90.07,90.72,89.85,21184822.0
2025-04-24,90.15,89.1,90.2,88.5,20881488.0
2025-04-25,89.1,88.42,89.55,88.03,23006791.0
2025-04-28,88.42,88.23,89.09,88.0,14446652.0
2025-04-29,88.02,88.0,88.52,87.8,13110870.0
2025-04-30,88.23,89.05,89.41,88.01,20183053.0
2025-05-06,89.4,89.9,90.35,89.25,23858710.0
2025-05-07,91.46,90.5,91.66,89.73,26342039.0
2025-05-08,90.09,89.98,90.09,89.31,23245156.0
2025-05-09,87.0,85.83,87.82,85.72,58300971.0
2025-05-12,85.9,86.32,86.32,84.16,36837284.0
2025-05-13,87.2,85.52,87.3,85.38,24125902.0
2025-05-14,85.58,86.06,86.75,85.28,23189869.0
2025-05-15,85.8,84.42,85.98,84.35,21551907.0
2025-05-16,84.16,84.7,84.78,83.88,17039389.0
2025-05-19,84.71,85.01,85.28,83.72,16412240.0
2025-05-20,85.4,85.04,85.82,85.0,15483762.0
2025-05-21,84.79,84.07,85.15,84.0,19840598.0
2025-05-22,84.0,83.81,84.68,83.71,13347362.0
2025-05-23,83.8,82.9,84.24,82.89,18562039.0
2025-05-26,83.42,84.02,84.68,83.41,22378126.0
2025-05-27,84.0,83.0,84.23,82.95,14405567.0
2025-05-28,83.14,82.01,83.24,82.0,15766722.0
2025-05-29,82.05,83.44,83.49,81.9,19295585.0
2025-05-30,83.01,82.09,83.1,81.94,14577233.0
2025-06-03,82.2,82.47,82.78,81.37,14113706.0
2025-06-04,82.6,83.18,83.32,82.26,13713352.0
2025-06-05,83.49,84.39,84.87,83.03,24759154.0
2025-06-06,84.33,84.56,85.0,83.78,18634650.0
2025-06-09,84.15,84.43,85.08,84.1,19227453.0
2025-06-10,84.49,82.32,84.49,82.02,25443912.0
2025-06-11,82.46,82.91,83.36,82.29,15435894.0
2025-06-12,82.5,82.27,82.88,82.06,14536968.0
2025-06-13,82.0,82.79,83.1,81.71,22621715.0
2025-06-16,82.3,82.96,83.07,82.28,12509643.0
2025-06-17,82.98,82.4,83.13,82.02,13764726.0
2025-06-18,82.23,82.01,82.67,81.66,14912111.0
2025-06-19,82.0,81.65,82.88,81.51,17728970.0
2025-06-20,81.73,81.28,82.59,81.22,16691409.0
2025-06-23,81.03,84.25,85.3,80.9,45387149.0
2025-06-24,84.25,85.15,85.37,84.09,30936689.0
2025-06-25,85.0,88.39,88.53,85.0,55719038.0
2025-06-26,88.39,87.28,89.98,87.2,38656454.0
2025-06-27,87.58,86.88,88.15,86.7,26165913.0
2025-06-30,88.18,88.17,89.63,87.79,34352802.0
2025-07-01,88.0,87.76,88.85,87.65,21688792.0
2025-07-02,87.5,86.1,87.73,85.81,22557267.0
2025-07-03,86.38,86.24,86.73,85.78,14615027.0
2025-07-04,86.0,85.8,87.2,84.86,25225745.0
2025-07-07,85.69,85.48,86.86,85.37,13534928.0
2025-07-08,85.49,86.74,86.85,85.18,21766848.0
2025-07-09,86.65,85.85,86.86,85.52,18310200.0
2025-07-10,85.61,85.67,86.17,85.5,17563946.0
2025-07-11,85.7,88.16,89.34,85.4,46992238.0
2025-07-14,88.3,87.52,88.49,87.47,18983136.0
2025-07-15,87.15,87.89,87.95,86.61,20617316.0
2025-07-16,87.73,87.12,88.2,86.77,19670851.0
2025-07-17,87.06,88.79,89.0,86.32,28792216.0
2025-07-18,88.75,88.51,89.13,87.93,21995993.0
2025-07-21,88.45,89.02,89.52,88.04,22271915.0
2025-07-22,88.7,89.08,90.55,88.5,29742068.0
2025-07-23,88.9,89.39,90.19,88.3,31654941.0
2025-07-24,89.1,91.75,92.9,89.0,52232453.0
2025-07-25,91.74,93.47,93.68,90.99,44212479.0
2025-07-28,93.64,92.18,93.69,91.96,34264005.0
2025-07-29,92.0,92.17,92.63,90.81,29414208.0
2025-07-30,91.7,90.36,91.83,89.74,31001859.0
2025-07-31,90.32,89.5,92.75,89.46,46198852.0
2025-08-01,89.2,88.29,90.33,88.02,27414033.0
2025-08-04,87.95,90.07,90.63,87.88,28605760.0
2025-08-05,89.85,90.0,90.58,89.58,19567940.0
2025-08-06,89.86,90.78,91.0,89.53,26779787.0
2025-08-07,90.7,90.59,91.7,89.75,31525994.0
2025-08-08,88.0,86.66,88.5,86.66,58473050.0
2025-08-11,86.69,86.96,87.18,86.22,27919314.0
2025-08-12,86.95,88.52,90.1,86.42,55155240.0
2025-08-13,88.01,88.66,89.23,88.0,38430442.0
2025-08-14,88.69,89.46,92.58,88.69,74149226.0
2025-08-15,89.0,91.84,93.3,88.48,69049946.0
2025-08-18,93.5,92.31,95.17,91.36,83342313.0
2025-08-19,91.67,89.35,92.48,89.35,74465214.0
2025-08-20,89.4,92.28,92.49,88.19,85874556.0
2025-08-21,92.3,91.05,94.11,90.8,60682605.0
2025-08-22,92.5,103.97,105.0,92.42,206194809.0
2025-08-25,106.0,103.17,109.24,101.1,176063698.0
2025-08-26,101.0,100.93,102.57,100.13,85607409.0
2025-08-27,102.2,101.51,106.69,100.59,142262071.0
2025-08-28,102.0,119.22,119.22,101.99,242032511.0
2025-08-29,114.0,114.76,116.0,112.26,163967037.0
2025-09-01,114.76,114.76,114.76,114.76,0.0
2025-09-02,114.76,114.76,114.76,114.76,0.0
2025-09-03,114.76,114.76,114.76,114.76,0.0
2025-09-04,114.76,114.76,114.76,114.76,0.0
2025-09-05,114.76,114.76,114.76,114.76,0.0
2025-09-08,114.76,114.76,114.76,114.76,0.0
2025-09-09,102.0,102.99,108.65,101.2,157469570.0
2025-09-10,103.0,103.91,105.96,102.13,103992570.0
2025-09-11,102.62,110.28,112.8,99.98,146750166.0
2025-09-12,109.28,108.42,112.49,108.01,115902204.0
