date,open,close,high,low,volume
2025-01-02,103.85,100.05,104.38,98.47,21024575.0
2025-01-03,100.42,97.98,100.74,97.59,16015481.0
2025-01-06,98.36,97.62,100.26,97.29,13130337.0
2025-01-07,98.08,101.38,101.76,97.76,19754254.0
2025-01-08,100.88,100.1,101.36,97.49,18105336.0
2025-01-09,99.47,99.43,101.32,99.16,11762455.0
2025-01-10,99.43,100.02,103.55,98.5,22144112.0
2025-01-13,98.16,99.23,99.95,97.71,13797734.0
2025-01-14,99.26,104.2,104.2,97.05,22429265.0
2025-01-15,104.09,102.02,104.09,101.72,14096403.0
2025-01-16,102.58,101.27,104.53,100.77,16499848.0
2025-01-17,100.47,102.1,103.5,100.15,15401714.0
2025-01-20,102.96,104.31,105.09,102.47,18284024.0
2025-01-21,104.62,106.09,106.43,103.53,19602977.0
2025-01-22,107.93,107.7,109.92,106.14,33305743.0
2025-01-23,108.86,105.8,109.13,105.79,22763063.0
2025-01-24,105.47,106.8,107.11,105.36,15805541.0
2025-01-27,107.26,104.96,107.72,104.95,13238552.0
2025-02-05,107.28,110.01,110.42,105.34,28432523.0
2025-02-06,109.34,112.95,112.95,108.43,29496531.0
2025-02-07,114.38,116.48,119.94,114.28,51266198.0
2025-02-10,116.74,117.72,119.15,116.3,28467328.0
2025-02-11,119.47,122.35,122.74,119.17,36322357.0
2025-02-12,121.61,134.59,134.59,120.87,47393093.0
2025-02-13,138.27,135.33,140.91,134.88,58973409.0
2025-02-14,133.3,135.21,137.57,130.32,42908675.0
2025-02-17,135.29,135.48,138.23,131.56,42307288.0
2025-02-18,139.26,142.84,148.87,136.88,72476424.0
2025-02-19,144.24,157.13,157.13,142.84,60911205.0
2025-02-20,160.15,152.19,161.11,150.9,65307525.0
2025-02-21,152.15,157.15,159.66,150.4,52939986.0
2025-02-24,154.62,149.21,154.62,147.68,55147888.0
2025-02-25,145.23,146.43,150.1,144.73,40033899.0
2025-02-26,146.73,147.71,149.13,143.21,40777983.0
2025-02-27,147.22,147.12,149.21,143.86,32610336.0
2025-02-28,145.23,141.05,147.21,140.5,37505082.0
2025-03-03,142.25,141.93,145.44,139.86,28207797.0
2025-03-04,139.47,142.65,144.04,139.26,27490580.0
2025-03-05,141.49,144.32,146.43,141.48,23216844.0
2025-03-06,145.84,146.28,148.1,145.43,31986989.0
2025-03-07,145.23,144.15,146.63,143.54,22013750.0
2025-03-10,144.11,144.3,144.73,142.35,16400324.0
2025-03-11,141.31,141.75,143.6,139.56,20505578.0
2025-03-12,142.75,140.14,143.24,140.02,18226650.0
2025-03-13,139.26,136.48,139.27,135.2,25883741.0
2025-03-14,136.0,138.95,139.75,135.93,21086000.0
2025-03-17,140.26,139.52,141.31,138.95,12363158.0
2025-03-18,140.46,139.94,141.45,138.37,12407611.0
2025-03-19,139.44,139.36,139.94,137.87,9741881.0
2025-03-20,139.34,137.23,139.34,137.07,11285970.0
2025-03-21,137.57,135.28,137.93,133.97,13545291.0
2025-03-24,135.27,135.48,136.82,133.3,11054398.0
2025-03-25,135.74,133.29,135.74,133.0,9692188.0
2025-03-26,133.29,132.9,134.07,132.68,7711118.0
2025-03-27,132.63,133.37,135.92,132.42,13979242.0
2025-03-28,133.36,132.7,135.55,132.61,10131877.0
2025-03-31,132.67,132.02,134.16,130.31,11964686.0
2025-04-01,132.6,132.96,133.84,131.31,9283499.0
2025-04-02,132.8,133.26,134.75,132.6,8586104.0
2025-04-03,131.32,129.51,133.3,129.1,13653174.0
2025-04-07,118.87,116.55,122.66,116.55,23351275.0
2025-04-08,118.37,114.54,118.51,112.32,30820560.0
2025-04-09,112.41,119.06,121.84,110.91,31799471.0
2025-04-10,123.07,122.35,124.35,120.67,20411813.0
2025-04-11,122.36,128.32,130.44,122.05,25252865.0
2025-04-14,129.33,125.95,130.29,125.34,19928767.0
2025-04-15,125.34,123.11,125.34,121.46,14801545.0
2025-04-16,125.23,123.57,125.32,121.4,14223574.0
2025-04-17,123.15,121.76,123.82,121.39,13331153.0
2025-04-18,121.35,121.64,122.33,120.54,7372872.0
2025-04-21,122.35,124.07,124.53,121.86,11250714.0
2025-04-22,123.65,122.1,123.65,121.89,10955126.0
2025-04-23,122.2,123.17,124.34,121.92,10885716.0
2025-04-24,123.23,121.06,123.24,120.51,8516654.0
2025-04-25,121.94,121.22,122.35,120.81,9550374.0
2025-04-28,121.15,121.64,122.4,120.58,9820414.0
2025-04-29,121.7,127.73,128.52,120.88,24682416.0
2025-04-30,129.3,130.89,132.56,127.86,25746166.0
2025-05-06,132.3,134.49,134.62,131.52,17727511.0
2025-05-07,136.38,131.06,136.57,130.16,21128084.0
2025-05-08,131.06,130.67,131.66,130.3,10233538.0
2025-05-09,130.11,130.05,131.21,129.32,10911108.0
2025-05-12,131.6,131.23,133.18,130.32,11807096.0
2025-05-13,132.15,130.56,132.59,130.07,10502937.0
2025-05-14,130.91,131.65,132.57,130.31,11976586.0
2025-05-15,131.55,127.37,131.55,127.33,12013377.0
2025-05-16,126.86,128.07,128.2,126.64,6898090.0
2025-05-19,128.08,127.55,128.3,125.93,7163950.0
2025-05-20,127.87,130.96,131.31,127.61,13953479.0
2025-05-21,130.09,130.04,130.43,128.27,7877079.0
2025-05-22,129.61,132.45,134.14,129.02,17259814.0
2025-05-23,132.1,129.51,132.39,129.44,9863666.0
2025-05-26,127.33,128.14,128.68,126.03,9594887.0
2025-05-27,127.81,126.2,128.11,126.15,6241641.0
2025-05-28,126.33,125.79,126.99,125.46,6850686.0
2025-05-29,126.32,127.48,128.55,125.44,8091923.0
2025-05-30,126.99,123.94,126.99,123.94,8243085.0
2025-06-03,122.36,123.94,125.69,122.36,7194521.0
2025-06-04,124.0,127.47,127.57,123.68,10886801.0
2025-06-05,127.48,131.9,132.18,126.93,12974272.0
2025-06-06,132.05,131.7,133.39,131.17,9982326.0
2025-06-09,131.78,129.32,132.0,129.2,9381272.0
2025-06-10,129.12,126.04,129.61,125.47,9900671.0
2025-06-11,126.05,126.36,128.55,126.05,7151455.0
