date,open,close,high,low,volume,money
2025-01-02,26.8,25.62,26.83,25.3,6513406.0,169569098.92
2025-01-03,25.72,24.58,25.78,24.44,7374682.0,184622506.02
2025-01-06,24.75,24.46,24.86,24.08,3987566.0,97926225.4
2025-01-07,24.5,24.24,24.64,23.82,5140868.0,124276906.28
2025-01-08,24.29,23.91,24.29,23.33,5217884.0,124484233.12
2025-01-09,23.8,24.0,24.26,23.8,3711924.0,89304496.98
2025-01-10,23.76,23.5,24.37,23.48,3492715.0,83358294.15
2025-01-13,23.23,23.89,24.13,23.12,3854642.0,91531041.71
2025-01-14,23.85,24.82,24.89,23.83,4575268.0,112256421.36
2025-01-15,25.0,24.41,25.0,24.02,4367350.0,106804355.3
2025-01-16,24.65,24.48,25.25,24.34,5281156.0,130524337.45
2025-01-17,24.43,24.71,24.98,24.25,3956626.0,97435403.99
2025-01-20,23.39,23.93,24.13,23.2,7213353.0,171599472.3
2025-01-21,23.98,24.04,24.21,23.53,4134160.0,99025610.62
2025-01-22,24.1,23.96,24.1,23.5,3103525.0,73844330.02
2025-01-23,24.19,24.18,24.92,24.12,4621825.0,113441268.69
2025-01-24,24.17,25.36,25.37,24.11,5382913.0,134204231.23
2025-01-27,25.52,25.04,25.69,24.96,4052478.0,102389447.71
2025-02-05,27.0,28.16,28.99,26.68,16849106.0,473668386.65
2025-02-06,28.59,31.52,32.18,27.71,23881641.0,715083674.42
2025-02-07,31.0,32.83,34.19,30.66,24896385.0,808664301.67
2025-02-10,33.48,36.26,36.42,32.4,24474782.0,847817421.15
2025-02-11,35.02,33.65,36.21,33.65,21179742.0,736081718.53
2025-02-12,33.39,33.92,34.59,33.39,14045264.0,477358648.1
2025-02-13,33.86,34.37,35.18,33.0,17564491.0,599368329.8
2025-02-14,33.8,38.4,39.33,33.76,27662356.0,1020838265.15
2025-02-17,38.45,40.26,42.55,36.5,28120210.0,1096845122.89
2025-02-18,40.54,42.6,46.3,39.0,36984352.0,1585166095.81
2025-02-19,42.1,45.99,47.77,41.5,34113853.0,1512017448.47
2025-02-20,44.85,43.05,45.54,42.98,23898157.0,1052524273.9
2025-02-21,43.42,43.34,44.5,41.06,23406159.0,1005881615.66
2025-02-24,42.85,42.03,43.0,40.0,24953098.0,1035512881.68
2025-02-25,40.59,41.67,42.98,40.47,15752366.0,662260733.09
2025-02-26,42.01,41.5,42.21,40.93,14143179.0,587689551.72
2025-02-27,41.75,40.35,42.58,39.73,16564550.0,677207053.65
2025-02-28,39.96,38.38,40.75,38.18,14937927.0,586561944.53
2025-03-03,38.59,38.91,39.82,37.68,11938967.0,465646086.2
2025-03-04,38.59,39.67,40.68,38.51,12175236.0,485975063.06
2025-03-05,39.55,39.85,40.18,39.0,10638204.0,420869980.4
2025-03-06,40.3,40.95,42.07,39.86,20554910.0,847645504.15
2025-03-07,40.44,39.64,41.25,39.21,14349946.0,576173174.41
2025-03-10,39.09,38.67,39.52,38.0,12434163.0,478871582.56
2025-03-11,38.01,38.03,38.67,37.2,12511355.0,472997745.76
2025-03-12,38.37,37.5,38.47,37.48,8799413.0,334317407.96
2025-03-13,37.34,36.22,37.5,35.83,12850300.0,467839759.17
2025-03-14,35.95,36.85,37.04,35.74,8173883.0,298872285.95
2025-03-17,36.88,36.56,37.07,36.27,6312323.0,231534904.39
2025-03-18,37.2,37.12,38.08,36.85,10241156.0,382421930.34
2025-03-19,36.8,36.55,37.12,36.43,6307238.0,231469340.98
2025-03-20,36.68,36.72,37.58,36.3,7562609.0,280400146.09
2025-03-21,36.53,35.36,36.95,35.35,8215623.0,295712231.02
2025-03-24,35.35,34.79,35.59,34.1,7428935.0,258355679.4
2025-03-25,34.7,34.5,35.23,34.3,4508580.0,156531130.16
2025-03-26,34.51,34.25,34.95,34.12,3993206.0,137612905.63
2025-03-27,34.29,34.54,35.17,33.8,6044616.0,209267558.56
2025-03-28,34.6,34.34,34.92,34.29,4248663.0,146990001.1
2025-03-31,34.1,34.23,34.39,33.54,4847717.0,164574457.89
2025-04-01,34.22,33.48,34.49,33.3,6486744.0,219437144.33
2025-04-02,33.44,33.74,34.08,33.44,3880358.0,131183589.22
2025-04-03,33.41,33.54,34.28,33.4,3689078.0,124472394.66
2025-04-07,31.74,28.1,32.31,27.02,12686965.0,377303079.38
2025-04-08,28.5,29.3,29.96,28.11,10260939.0,299520925.89
2025-04-09,28.7,30.13,30.8,27.95,10949494.0,326403405.13
2025-04-10,30.88,30.5,31.4,30.35,7443228.0,229752486.58
2025-04-11,30.2,30.81,31.45,30.17,6114128.0,188664541.77
2025-04-14,31.27,30.77,31.49,30.66,5312557.0,165006007.72
2025-04-15,30.72,30.56,30.88,30.05,5433274.0,165183047.72
2025-04-16,30.43,30.04,30.68,29.51,4918054.0,147731538.24
2025-04-17,29.9,29.69,30.59,29.69,5334529.0,160599322.36
2025-04-18,29.9,29.38,29.9,28.92,5085324.0,148843750.77
