date,open,close,high,low,volume,money
2025-01-02,57.04,54.97,57.59,54.41,5605974.0,314440911.22
2025-01-03,55.07,52.85,55.43,52.77,5613568.0,301638647.01
2025-01-06,53.05,52.52,53.45,51.94,4264448.0,224639811.03
2025-01-07,52.69,53.61,53.73,52.69,3794712.0,202314079.84
2025-01-08,53.38,52.89,53.84,51.47,3513426.0,185385017.52
2025-01-09,52.89,53.44,53.91,52.49,2917339.0,155942540.93
2025-01-10,53.36,52.5,54.11,52.5,3095655.0,165169975.22
2025-01-13,52.37,52.77,53.96,51.78,3683265.0,195208328.42
2025-01-14,53.27,54.55,54.55,52.82,4682568.0,252394520.73
2025-01-15,54.45,54.24,54.56,53.57,3469158.0,187781451.02
2025-01-16,54.76,54.65,55.81,54.16,3226827.0,177091293.9
2025-01-17,54.07,55.07,55.51,54.07,3262571.0,178784729.66
2025-01-20,55.46,56.81,57.22,55.03,5244178.0,294500225.12
2025-01-21,56.9,58.65,59.03,56.56,6409046.0,372589724.26
2025-01-22,58.47,58.51,59.76,58.06,4787324.0,282133528.52
2025-01-23,59.25,58.72,60.46,58.52,4376173.0,260788657.51
2025-01-24,58.06,59.24,59.83,58.05,3927226.0,231627683.62
2025-01-27,59.95,59.5,60.56,59.14,3775453.0,226047014.67
2025-02-05,62.76,62.56,64.74,62.25,9790485.0,619066080.81
2025-02-06,62.06,67.46,68.81,61.69,12046664.0,793411489.25
2025-02-07,67.41,72.59,73.95,66.56,19035113.0,1352498308.64
2025-02-10,73.26,78.13,80.65,73.24,20004997.0,1549555392.89
2025-02-11,76.95,75.88,78.43,75.38,12540177.0,962145073.43
2025-02-12,75.79,81.55,82.0,74.95,17380261.0,1375450005.76
2025-02-13,80.95,87.93,92.51,79.95,23586992.0,2016256832.95
2025-02-14,87.93,105.52,105.52,87.44,26448422.0,2611368111.24
2025-02-17,110.93,99.93,118.18,98.29,37523604.0,3962316822.5
2025-02-18,97.94,97.94,102.93,96.89,23464795.0,2338790392.25
2025-02-19,98.37,102.13,106.93,96.89,22232704.0,2285322433.9
2025-02-20,99.93,103.61,105.51,97.94,17645050.0,1790369653.89
2025-02-21,104.93,119.48,122.65,104.24,24591427.0,2718409990.98
2025-02-24,116.92,112.93,118.13,109.55,20002110.0,2269111537.81
2025-02-25,105.93,110.93,112.49,102.44,14787390.0,1610442533.45
2025-02-26,110.91,115.43,118.6,107.93,16125167.0,1845334109.57
2025-02-27,116.19,109.83,119.41,106.64,19166308.0,2123415258.19
2025-02-28,107.07,101.99,109.83,100.93,17379827.0,1813376912.76
2025-03-03,102.93,101.43,104.47,100.44,13390936.0,1372085943.26
2025-03-04,100.36,103.98,105.93,99.38,9897448.0,1026706276.35
2025-03-05,105.28,109.31,111.22,103.13,14874103.0,1613870754.12
2025-03-06,110.42,125.18,128.89,110.42,24908139.0,2996508688.98
2025-03-07,129.91,131.45,141.91,127.03,23539443.0,3113380139.51
2025-03-10,129.89,121.89,130.79,121.64,17671159.0,2208265717.44
2025-03-11,118.47,118.37,119.92,115.92,13809802.0,1623921715.33
2025-03-12,119.43,115.89,121.62,114.93,13256199.0,1560634834.94
2025-03-13,115.92,115.12,116.47,112.48,8664943.0,993532121.84
